fips,median_household_income_2017,density_2010
26007,40954,51.8
26009,50988,49.6
26011,39947,43.8
26013,42757,9.9
26015,57312,107
26017,45983,243.7
26019,53185,54.8
26021,47132,276.2
26023,48192,89.4
26025,46213,192.8
26027,50699,106.7
26029,51567,62.3
26031,42876,36.6
26033,44030,24.7
26035,35913,54.8
26037,64903,133.1
26039,42666,25.3
26041,44639,31.7
26043,45681,34.4
26045,59244,187.3
26047,51475,69.9
26049,45231,668.5
26051,40871,51.2
26053,36689,14.9
26055,58229,187.3
26057,42256,74.7
26059,46160,78.1
26061,41379,36.3
26063,45191,39.6
26065,49109,505.1
26067,51980,111.9
26069,41414,47.1
26071,36773,10.1
26073,42771,122.8
26075,49715,228.4
26077,51945,445.7
26079,43431,30.6
26081,57302,711.5
26083,41118,4
26085,32309,20.3
26087,56186,137.4
26089,62646,62.5
26091,51339,133.3
26093,78430,320.2
26095,41221,7.4
26097,42559,10.9
26099,58175,1754.9
26101,44882,45.6
26103,48491,37.1
26105,45524,58
26107,43470,77.1
26109,44480,23
26111,57117,162
26113,42370,26.3
26115,59479,276.7
26117,44651,89.8
26119,39152,17.9
26121,46077,344.9
26123,45645,59.6
26125,73369,1385.7
26127,44382,51.9
26129,38149,38.5
26131,36073,5.2
26133,41099,41.5
26135,36833,15.3
26137,50823,46.9
26139,63962,468.2
26141,43758,20.3
26143,37834,47.1
26145,45034,250.2
26147,53641,226.1
26149,47856,122.4
26151,44417,44.8
26153,37428,7.2
26155,50967,133.1
26157,45495,69.4
26159,49119,125.5
26161,65618,488.4
26163,43702,2974.4
26165,42793,57.9
27001,45860,8.9
27003,76796,782.1
27005,55884,24.7
27007,45923,17.7
27009,53574,94.2
27011,48299,10.6
27013,53752,85.6
27015,55764,42.4
27017,58874,41.1
27019,93095,256.9
27021,50162,14.1
27023,57601,21.4
27025,76747,129.9
27027,61409,56.4
27029,45638,8.7
27031,51903,3.6
27033,50524,18.3
27035,53121,62.6
27037,79995,709
27039,71078,45.7
27041,58667,56.5
27043,50847,20.4
27045,57093,24.2
27047,51174,44.2
27049,62431,61
27051,53727,11
27053,71154,2081.7
27055,56837,34.5
27057,52941,22.1
27059,67565,86.8
27061,52050,16.9
27063,55122,14.6
27065,50509,31.1
27067,56604,53
27069,52304,4.1
27071,47131,4.3
27073,50195,9.5
27075,56078,5.2
27077,46943,3.1
27079,65500,61.7
27081,51102,11
27083,54181,36.2
27085,59869,74.6
27087,42439,9.7
27089,57289,5.3
27091,53627,29.3
27093,59611,38.3
27095,53737,45.6
27097,52855,29.5
27099,53700,55.1
27101,54211,12.4
27103,62593,73
27105,53267,29.9
27107,53034,7.9
27109,72337,220.8
27111,55181,29.1
27113,53893,22.6
27115,47285,21.1
27117,48909,20.6
27119,55393,16
27121,58198,16.4
27123,60301,3341.7
27125,52500,9.5
27127,51871,18.3
27129,56721,16
27131,63311,129.4
27133,56753,20.1
27135,56273,9.3
27137,50936,32
27139,93151,364.5
27141,83895,204.4
27143,60848,25.9
27145,59564,112.2
27147,58882,85.1
27149,57552,17.3
27151,49556,13.2
27153,49213,26.3
27155,48889,6.2
27157,61973,41.4
27159,45018,25.8
27161,55189,45.2
27163,89598,619.7
27165,50044,25.8
27167,52917,8.8
27169,53975,82.2
27171,77953,188.5
27173,54645,13.8
28001,30359,69.8
28003,38919,92.6
28005,30129,18
28007,33815,26.6
28009,40605,21.5
28011,28468,39
28013,33370,25.5
28015,43068,16.9
28017,33579,34.7
